language,truth_table,exact_minimum_gates,classical_lower_k_plus_1,classical_upper_k_plus_1,predicted_k_plus_1,calibrated_lower_k_plus_1,calibrated_upper_k_plus_1,covered,n4_lower_allowance,n4_upper_allowance,khrapchenko_product,decision_tree_leaf_count,mean_certificate_size,maximum_certificate_size,mean_certificate_size_output_0,mean_certificate_size_output_1,anf_terms_degree_0,fourier_negative_degree_0,anf_terms_degree_1,fourier_negative_degree_1,anf_terms_degree_2,fourier_negative_degree_2,anf_terms_degree_3,fourier_negative_degree_3,anf_terms_degree_4,fourier_negative_degree_4,exact_aon_cover_upper,classical_width,conditional_lower_k_plus_1,conditional_upper_k_plus_1,conditional_covered,conditional_lower_allowance,conditional_upper_allowance
NAND,4193958314,11,3.6406926406926408,96.0,12.621049249327346,10.9675507153786,14.152044496078748,True,1.6534985339487456,1.5309952467514023,3.6406926406926408,11.0,2.5,4.0,3.1818181818181817,2.142857142857143,0.0,0.0,2.0,4.0,2.0,6.0,3.0,5.0,4.0,3.0,,92.35930735930737,9.366772534416334,13.806098021616542,True,3.254276714911011,1.1850487722891956
NAND,4194483123,11,3.111111111111111,87.0,11.50517340547761,9.851674871528864,13.036168652229012,True,1.6534985339487456,1.5309952467514023,3.111111111111111,10.0,2.5625,3.0,3.0,2.2222222222222223,1.0,0.0,2.0,3.0,2.0,1.0,5.0,3.0,1.0,1.0,,83.88888888888889,8.635744335631706,12.689461483430518,True,2.8694290698459026,1.184288077952908
NAND,4225266290,11,3.890688259109312,87.0,13.206404323774468,11.552905789825722,14.73739957052587,True,1.6534985339487456,1.5309952467514023,3.890688259109312,10.0,2.8125,4.0,3.1538461538461537,2.5789473684210527,0.0,0.0,2.0,4.0,4.0,5.0,2.0,6.0,3.0,3.0,,83.10931174089069,9.845718417869758,14.386169781288327,True,3.3606859059047105,1.1797654575138594
NAND,4283963640,11,4.587301587301587,114.0,15.000841206914624,13.34734267296588,16.531836453666028,False,1.6534985339487456,1.5309952467514023,4.587301587301587,13.0,2.90625,4.0,3.357142857142857,2.555555555555556,0.0,0.0,1.0,4.0,2.0,6.0,5.0,4.0,3.0,1.0,,109.41269841269842,11.682195645439005,16.183937566021275,True,3.3186455614756185,1.1830963591066517
NOR,8935331,11,4.16017316017316,105.0,14.505998810303332,12.651444663782732,16.28702705055541,False,1.8545541465205984,1.7810282402520787,4.16017316017316,12.0,2.71875,4.0,2.380952380952381,3.363636363636364,1.0,1.0,3.0,1.0,6.0,4.0,7.0,4.0,3.0,2.0,,100.83982683982684,10.122637827862079,15.671294722281147,True,4.383360982441253,1.1652959119778148
NOR,12249838,11,3.0625,87.0,13.106183555358111,11.251629408837513,14.88721179561019,True,1.8545541465205984,1.7810282402520787,3.0625,10.0,2.40625,4.0,2.5,2.3125,0.0,0.0,2.0,3.0,4.0,6.0,8.0,3.0,4.0,2.0,,83.9375,8.791807055179962,14.28071125450506,True,4.314376500178149,1.1745276991469493
NOR,17944538,11,4.063492063492063,96.0,13.73670971032634,11.882155563805744,15.51773795057842,True,1.8545541465205984,1.7810282402520787,4.063492063492063,11.0,2.8125,4.0,2.4444444444444446,3.2857142857142856,0.0,1.0,4.0,0.0,4.0,5.0,5.0,6.0,3.0,3.0,,91.93650793650794,9.006673138263988,14.902003548763147,True,4.730036572062351,1.1652938384368086
NOR,59704259,11,3.404858299595141,69.0,11.335719001991244,9.481164855470643,13.116747242243322,True,1.8545541465205984,1.7810282402520787,3.404858299595141,8.0,2.34375,4.0,2.1578947368421053,2.6153846153846154,1.0,1.0,2.0,2.0,1.0,5.0,2.0,4.0,2.0,3.0,,65.59514170040485,9.039202192916177,12.498695267914966,True,2.296516809075067,1.1629762659237224
NOR,84938516,11,3.5217391304347827,87.0,11.507025981719694,9.652471835199096,13.288054221971771,True,1.8545541465205984,1.7810282402520787,3.5217391304347827,10.0,2.46875,4.0,2.130434782608696,3.333333333333333,0.0,1.0,3.0,1.0,4.0,5.0,6.0,8.0,5.0,5.0,,83.47826086956522,6.421753214700152,12.670735787664816,True,5.085272767019543,1.1637098059451214
NOR,168710226,11,4.090909090909091,87.0,13.54076708082717,11.686212934306573,15.321795321079248,True,1.8545541465205984,1.7810282402520787,4.090909090909091,10.0,2.6875,4.0,2.4545454545454546,3.2,0.0,1.0,2.0,0.0,4.0,3.0,7.0,4.0,3.0,2.0,,82.9090909090909,9.268383365699705,14.705880701409603,True,4.272383715127464,1.1651136205824333
