truth_table,bias,influence_0,influence_1,influence_2,influence_3,fourier_energy_degree_0,fourier_energy_degree_1,fourier_energy_degree_2,fourier_energy_degree_3,fourier_energy_degree_4,algebraic_degree,input_symmetries,anf_terms_degree_0,fourier_l1_degree_0,fourier_negative_degree_0,fourier_zero_degree_0,anf_terms_degree_1,fourier_l1_degree_1,fourier_negative_degree_1,fourier_zero_degree_1,anf_terms_degree_2,fourier_l1_degree_2,fourier_negative_degree_2,fourier_zero_degree_2,anf_terms_degree_3,fourier_l1_degree_3,fourier_negative_degree_3,fourier_zero_degree_3,anf_terms_degree_4,fourier_l1_degree_4,fourier_negative_degree_4,fourier_zero_degree_4,sensitivity_variance,maximum_local_sensitivity,zero_conditional_sensitivity,one_conditional_sensitivity,khrapchenko_product,order_2_derivative_std,order_2_derivative_max,order_3_derivative_std,order_3_derivative_max,mean_certificate_size,maximum_certificate_size,mean_certificate_size_output_0,mean_certificate_size_output_1,constant_faces_codimension_1,constant_faces_codimension_2,constant_faces_codimension_3,decision_tree_depth,decision_tree_leaf_count,and_factorable_partitions,or_factorable_partitions,xor_factorable_partitions,prime_0_count,prime_0_mean_literals,prime_0_minimum_literals,prime_1_count,prime_1_mean_literals,prime_1_minimum_literals,one_region_components,zero_region_components,total_monochromatic_components,maximum_absolute_walsh,fourier_entropy,canalizing_variable_count,cofactor_orbit_diversity,target_NAND,target_NOR,target_AND_OR_NOT
9569,-4,4,8,12,12,16,32,96,96,16,3,1,1,4,1,0,3,8,0,2,2,16,2,3,2,16,1,1,0,4,0,0,0.9375,4,1.8,3.0,5.4,0.144337567297,0.75,0.108253175473,0.5,2.6875,4,2.4,3.1666666666666665,0,2,14,4,9,0,0,0,6,2.6666666666666665,2,4,3.25,3,3,1,4,8,3.0,0,8,16,12,12
9570,-4,8,8,8,12,16,16,112,112,0,3,1,0,4,1,0,2,4,0,3,3,20,3,2,3,20,2,0,0,0,0,1,0.6875,4,1.8,3.0,5.4,0.171796067734,0.75,0.125,0.5,2.8125,4,2.6,3.1666666666666665,0,1,14,4,9,0,0,0,8,2.875,2,4,3.25,3,3,1,4,8,3.0,0,6,15,13,12
9571,-2,6,10,10,10,4,48,88,112,4,4,1,1,2,1,0,2,12,0,0,3,20,3,0,1,20,2,0,1,2,0,0,0.6875,4,2.0,2.5714285714285716,5.142857142857143,0.117851130198,0.625,0.108253175473,0.625,2.8125,4,2.5555555555555554,3.142857142857143,0,1,14,4,9,0,0,0,6,2.8333333333333335,2,6,3.1666666666666665,3,2,1,3,6,3.325375780033049,0,7,16,13,13
9572,-4,4,8,8,12,16,16,176,48,0,3,1,0,4,1,0,2,4,0,3,5,28,4,1,3,12,2,1,0,0,0,1,0.5,3,1.6,2.6666666666666665,4.266666666666667,0.117851130198,0.75,0.108253175473,0.5,2.625,3,2.4,3.0,0,2,16,3,7,0,0,0,7,2.7142857142857144,2,4,3.0,3,2,1,3,8,3.0,0,8,12,11,9
9573,-2,2,6,10,14,4,48,152,48,4,4,1,1,2,1,0,2,12,0,0,1,24,4,0,1,12,2,0,1,2,0,0,0.5,3,1.7777777777777777,2.2857142857142856,4.063492063492063,0.171796067734,0.875,0.125,0.625,2.375,3,2.3333333333333335,2.4285714285714284,0,3,16,4,7,0,0,0,5,2.6,2,3,2.6666666666666665,2,2,1,3,10,2.848681565885773,0,8,10,10,9
9574,-2,6,6,10,14,4,16,152,80,4,4,1,0,2,1,0,3,8,0,0,2,24,5,0,0,16,2,0,1,2,1,0,0.4375,3,2.0,2.5714285714285716,5.142857142857143,0.171796067734,0.875,0.207289049397,0.625,2.75,3,2.5555555555555554,3.0,0,1,14,4,8,0,0,0,6,2.8333333333333335,2,5,3.0,3,2,1,3,10,2.848681565885773,0,8,14,12,11
9575,0,4,8,8,12,0,64,128,64,0,3,1,1,0,0,1,1,16,0,0,4,16,1,4,4,16,2,0,0,0,0,1,0.5,3,2.0,2.0,4.0,0.117851130198,0.75,0.176776695297,0.75,2.5,3,2.5,2.5,0,2,16,4,8,0,0,0,5,2.8,2,5,2.8,2,1,1,2,8,3.0,0,8,12,12,11
9576,-4,8,8,12,12,16,0,96,128,16,3,2,0,4,1,0,1,0,0,4,5,24,5,0,4,16,1,2,0,4,0,0,0.75,4,2.0,3.3333333333333335,6.666666666666667,0.144337567297,0.75,0.125,0.5,3.125,4,3.0,3.3333333333333335,0,0,12,4,10,0,0,0,10,3.0,3,4,3.5,3,4,1,5,8,3.0,0,6,16,15,13
9577,-2,6,10,14,14,4,16,56,144,36,4,2,1,2,1,0,3,8,0,0,1,16,5,0,0,20,1,0,1,6,0,0,0.6875,4,2.4444444444444446,3.142857142857143,7.682539682539683,0.186338998125,0.625,0.108253175473,0.625,3.1875,4,3.111111111111111,3.2857142857142856,0,0,10,4,11,0,0,0,8,3.125,3,5,3.4,3,4,2,6,10,2.848681565885773,0,6,18,17,15
9578,-2,6,10,10,14,4,16,88,144,4,4,1,0,2,1,0,2,8,1,0,2,20,5,0,1,20,2,0,1,2,0,0,0.5,4,2.2222222222222223,2.857142857142857,6.34920634920635,0.186338998125,0.875,0.176776695297,0.625,3.0625,4,3.0,3.142857142857143,0,0,12,4,9,0,0,0,8,3.0,3,5,3.2,3,3,1,4,10,2.848681565885773,0,8,16,14,12
