index,feature,status,family,language,importance_mean,importance_std
115,influence_2,used,influence,NAND,0.0001068941844188459,0.0001976528644499184
116,influence_2,used,influence,NOR,0.0002842581988407117,0.00021410916357097898
117,influence_3,used,influence,AND_OR_NOT,0.0010092716511936161,0.0003431531435478849
118,influence_3,used,influence,NAND,-2.3240301246654772e-05,0.0003342156352417611
119,influence_3,used,influence,NOR,3.601121243987371e-05,9.637855130994025e-05
120,input_symmetries,used,symmetry,AND_OR_NOT,0.01571262415369451,0.0023490900461032773
121,input_symmetries,used,symmetry,NAND,0.0012316487458287728,0.0006716575118734839
122,input_symmetries,used,symmetry,NOR,0.0033651904479864657,0.001109038536500404
123,khrapchenko_product,new,local sensitivity,AND_OR_NOT,0.05170109540217517,0.009894672867136176
124,khrapchenko_product,new,local sensitivity,NAND,0.04463224148840252,0.007249839059568029
125,khrapchenko_product,new,local sensitivity,NOR,0.0682413996772461,0.008435589331449835
126,maximum_absolute_walsh,new,Fourier shape,AND_OR_NOT,0.00016088277872045031,9.671675095085048e-05
127,maximum_absolute_walsh,new,Fourier shape,NAND,6.656478368948781e-05,0.00012004267363182037
128,maximum_absolute_walsh,new,Fourier shape,NOR,4.200115628938128e-05,0.00012969059091552315
129,maximum_certificate_size,new,certificates,AND_OR_NOT,1.4261929911169036e-05,1.6600029311663594e-05
130,maximum_certificate_size,new,certificates,NAND,1.2137810251389158e-05,2.7344925375064324e-05
131,maximum_certificate_size,new,certificates,NOR,3.0334276072130353e-07,9.407868356673026e-07
132,maximum_local_sensitivity,new,local sensitivity,AND_OR_NOT,0.0026446713464615664,0.0008505548309066899
133,maximum_local_sensitivity,new,local sensitivity,NAND,0.008359811521221255,0.0010148288497066312
134,maximum_local_sensitivity,new,local sensitivity,NOR,0.007013648020296514,0.0019854093856365366
135,mean_certificate_size,new,certificates,AND_OR_NOT,0.2787205790668833,0.050809872536647815
136,mean_certificate_size,new,certificates,NAND,0.002936879136229856,0.0008618924643299627
137,mean_certificate_size,new,certificates,NOR,0.008827328379987662,0.002196537789949574
138,mean_certificate_size_output_0,new,certificates,AND_OR_NOT,0.0005461150381513319,0.00043130856781058114
139,mean_certificate_size_output_0,new,certificates,NAND,0.0009341746202332468,0.0004433264034453925
140,mean_certificate_size_output_0,new,certificates,NOR,0.07068493608147944,0.019214359249123774
141,mean_certificate_size_output_1,new,certificates,AND_OR_NOT,0.0010454430747369292,0.00048159391154725185
142,mean_certificate_size_output_1,new,certificates,NAND,0.07858627015064215,0.012077922671474766
143,mean_certificate_size_output_1,new,certificates,NOR,0.0018781710603804568,0.000894996036532008
144,one_conditional_sensitivity,new,local sensitivity,AND_OR_NOT,6.218419971018018e-05,0.0001497211505924406
145,one_conditional_sensitivity,new,local sensitivity,NAND,0.0009710019717818735,0.000567721058956624
146,one_conditional_sensitivity,new,local sensitivity,NOR,0.0003323500775759741,0.00017501802485180628
147,one_region_components,new,cube topology,AND_OR_NOT,6.050112818291042e-05,0.00016574858411203187
148,one_region_components,new,cube topology,NAND,0.003955458556762712,0.0012119023283877423
149,one_region_components,new,cube topology,NOR,0.00029559839149777,0.0002344836607487381
150,or_factorable_partitions,new,factorability,AND_OR_NOT,3.760202373757904e-05,4.806893409586255e-05
151,or_factorable_partitions,new,factorability,NAND,0.0001173460934779047,0.00013958981273353075
152,or_factorable_partitions,new,factorability,NOR,1.8980691960823748e-05,3.288924874097586e-05
153,order_2_derivative_max,new,higher derivatives,AND_OR_NOT,0.00011892054252582996,9.061432623140579e-05
154,order_2_derivative_max,new,higher derivatives,NAND,0.00025012473970510707,0.00021274935361563946
155,order_2_derivative_max,new,higher derivatives,NOR,7.363545785562254e-05,0.00013711375628630478
156,order_2_derivative_std,new,higher derivatives,AND_OR_NOT,0.006395146076376401,0.0016135754242252276
157,order_2_derivative_std,new,higher derivatives,NAND,0.001925622180977568,0.0008208458273381732
158,order_2_derivative_std,new,higher derivatives,NOR,0.0017403054181828054,0.0006742671992856472
159,order_3_derivative_max,new,higher derivatives,AND_OR_NOT,0.0001366158630125791,0.00010232284931976992
160,order_3_derivative_max,new,higher derivatives,NAND,0.00021199545129133024,0.0002813379655706499
161,order_3_derivative_max,new,higher derivatives,NOR,0.0001262484528844504,0.000188778067310154
162,order_3_derivative_std,new,higher derivatives,AND_OR_NOT,0.001519978471273367,0.000544548215618497
163,order_3_derivative_std,new,higher derivatives,NAND,0.0001311514362045213,0.00021594607470848173
164,order_3_derivative_std,new,higher derivatives,NOR,0.0005414277891305774,0.0003005483862466211
165,prime_0_count,new,prime cubes,AND_OR_NOT,0.0003277615929502403,0.00026617373677151655
