feature_family,component,descriptor_classes,language,ceiling_r2,ceiling_gain
fourier_absolute_shape,degree_3_rank_0,675,AND_OR_NOT,0.9306219267955016,0.0
fourier_absolute_shape,degree_3_rank_1,677,NAND,0.893663335046368,0.0002188034225060198
fourier_absolute_shape,degree_3_rank_1,677,NOR,0.893663335046368,0.0002188034225060198
fourier_absolute_shape,degree_3_rank_1,677,AND_OR_NOT,0.930893871006519,0.0002719442110173942
fourier_absolute_shape,degree_3_rank_2,677,NAND,0.893663335046368,0.0002188034225060198
fourier_absolute_shape,degree_3_rank_2,677,NOR,0.893663335046368,0.0002188034225060198
fourier_absolute_shape,degree_3_rank_2,677,AND_OR_NOT,0.930893871006519,0.0002719442110173942
fourier_absolute_shape,degree_3_rank_3,677,NAND,0.893663335046368,0.0002188034225060198
fourier_absolute_shape,degree_3_rank_3,677,NOR,0.893663335046368,0.0002188034225060198
fourier_absolute_shape,degree_3_rank_3,677,AND_OR_NOT,0.930893871006519,0.0002719442110173942
fourier_absolute_shape,degree_4_rank_0,675,NAND,0.893444531623862,0.0
fourier_absolute_shape,degree_4_rank_0,675,NOR,0.893444531623862,0.0
fourier_absolute_shape,degree_4_rank_0,675,AND_OR_NOT,0.9306219267955016,0.0
fourier_l1_by_degree,degree_0,675,NAND,0.893444531623862,0.0
fourier_l1_by_degree,degree_0,675,NOR,0.893444531623862,0.0
fourier_l1_by_degree,degree_0,675,AND_OR_NOT,0.9306219267955016,0.0
fourier_l1_by_degree,degree_1,677,NAND,0.8940147693105985,0.0005702376867365855
fourier_l1_by_degree,degree_1,677,NOR,0.8940147693105985,0.0005702376867365855
fourier_l1_by_degree,degree_1,677,AND_OR_NOT,0.9318108399163957,0.0011889131208940862
fourier_l1_by_degree,degree_2,685,NAND,0.8936176261122143,0.0001730944883523433
fourier_l1_by_degree,degree_2,685,NOR,0.8936176261122143,0.0001730944883523433
fourier_l1_by_degree,degree_2,685,AND_OR_NOT,0.9311127106455147,0.0004907838500131101
fourier_l1_by_degree,degree_3,677,NAND,0.893663335046368,0.0002188034225060198
fourier_l1_by_degree,degree_3,677,NOR,0.893663335046368,0.0002188034225060198
fourier_l1_by_degree,degree_3,677,AND_OR_NOT,0.930893871006519,0.0002719442110173942
fourier_l1_by_degree,degree_4,675,NAND,0.893444531623862,0.0
fourier_l1_by_degree,degree_4,675,NOR,0.893444531623862,0.0
fourier_l1_by_degree,degree_4,675,AND_OR_NOT,0.9306219267955016,0.0
fourier_sign_profile,degree_0_negative,675,NAND,0.893444531623862,0.0
fourier_sign_profile,degree_0_negative,675,NOR,0.893444531623862,0.0
fourier_sign_profile,degree_0_negative,675,AND_OR_NOT,0.9306219267955016,0.0
fourier_sign_profile,degree_0_zero,675,NAND,0.893444531623862,0.0
fourier_sign_profile,degree_0_zero,675,NOR,0.893444531623862,0.0
fourier_sign_profile,degree_0_zero,675,AND_OR_NOT,0.9306219267955016,0.0
fourier_sign_profile,degree_0_positive,675,NAND,0.893444531623862,0.0
fourier_sign_profile,degree_0_positive,675,NOR,0.893444531623862,0.0
fourier_sign_profile,degree_0_positive,675,AND_OR_NOT,0.9306219267955016,0.0
fourier_sign_profile,degree_1_negative,1925,NAND,0.9294137161688416,0.03596918454497966
fourier_sign_profile,degree_1_negative,1925,NOR,0.9294137161688416,0.03596918454497966
fourier_sign_profile,degree_1_negative,1925,AND_OR_NOT,0.950720562501711,0.0200986357062094
fourier_sign_profile,degree_1_zero,675,NAND,0.893444531623862,0.0
fourier_sign_profile,degree_1_zero,675,NOR,0.893444531623862,0.0
fourier_sign_profile,degree_1_zero,675,AND_OR_NOT,0.9306219267955016,0.0
fourier_sign_profile,degree_1_positive,1925,NAND,0.9294137161688416,0.03596918454497966
fourier_sign_profile,degree_1_positive,1925,NOR,0.9294137161688416,0.03596918454497966
fourier_sign_profile,degree_1_positive,1925,AND_OR_NOT,0.950720562501711,0.0200986357062094
fourier_sign_profile,degree_2_negative,1521,NAND,0.9050133879254731,0.011568856301611197
