truth_table,khrapchenko_product,decision_tree_leaf_count,mean_certificate_size,maximum_certificate_size,mean_certificate_size_output_0,mean_certificate_size_output_1,anf_terms_degree_0,fourier_negative_degree_0,anf_terms_degree_1,fourier_negative_degree_1,anf_terms_degree_2,fourier_negative_degree_2,anf_terms_degree_3,fourier_negative_degree_3,anf_terms_degree_4,fourier_negative_degree_4,exact_aon_cover_upper,exact_minimum_gates,classical_lower_k_plus_1,classical_upper_k_plus_1,predicted_k_plus_1,classical_width,and_factorable_partitions,or_factorable_partitions,canalizing_variable_count,restriction_upper_k_plus_1,factor_upper_k_plus_1,construction_upper_k_plus_1,prime_cover_slack,cohort,baseline_lower_k_plus_1,baseline_upper_k_plus_1,baseline_covered,structure_augmented_lower_k_plus_1,structure_augmented_upper_k_plus_1,structure_augmented_covered
711649472,4.4089068825910935,13.0,2.78125,4.0,2.473684210526316,3.230769230769231,0.0,1.0,0.0,5.0,2.0,7.0,2.0,2.0,4.0,3.0,26,12,4.4089068825910935,26.0,15.323638091463684,21.591093117408906,0.0,0.0,0.0,16.0,189.0,16.0,10.676361908536316,upper_tail,12.660205841828608,16.769209928676098,True,12.760280664328047,16.75202005695955,True
1403680672,4.515625,11.0,2.8125,4.0,2.625,3.0,0.0,0.0,1.0,3.0,2.0,6.0,5.0,4.0,2.0,0.0,23,12,4.515625,23.0,12.39322176912571,18.484375,0.0,0.0,0.0,14.0,189.0,14.0,10.60677823087429,upper_tail,9.697609262389305,13.804647353896545,True,9.778188932811924,13.773141590667887,True
118977636,5.142857142857143,12.0,2.90625,4.0,2.611111111111111,3.2857142857142856,0.0,1.0,2.0,0.0,4.0,5.0,4.0,5.0,2.0,1.0,26,12,5.142857142857143,26.0,15.480917011751984,20.857142857142858,0.0,0.0,0.0,16.0,189.0,16.0,10.519082988248016,upper_tail,12.741102843599759,16.89822174932044,True,12.823779977885671,16.85558651540211,True
2948467246,3.5714285714285716,13.0,2.6875,4.0,3.0714285714285716,2.388888888888889,0.0,0.0,2.0,2.0,5.0,3.0,6.0,5.0,2.0,2.0,25,12,3.5714285714285716,25.0,14.510288305045517,21.428571428571427,0.0,0.0,0.0,16.0,189.0,16.0,10.489711694954483,upper_tail,11.829346197155026,15.935344802715795,True,11.89702929151914,15.887674484088652,True
250891980,4.0,12.0,3.03125,4.0,3.0625,3.0,0.0,0.0,1.0,1.0,2.0,7.0,5.0,4.0,2.0,0.0,23,12,4.0,23.0,12.51678584562583,19.0,0.0,0.0,0.0,15.0,189.0,15.0,10.48321415437417,upper_tail,9.706798829614112,13.919929580057504,True,9.861840852701974,13.879928438345058,True
3114401205,4.266666666666667,12.0,2.8125,4.0,3.1666666666666665,2.6,1.0,0.0,1.0,2.0,4.0,2.0,6.0,3.0,1.0,4.0,25,12,4.266666666666667,25.0,14.569168068183973,20.733333333333334,0.0,0.0,0.0,14.0,189.0,14.0,10.430831931816027,upper_tail,11.736724521363403,16.051472273460462,True,12.007325808378665,15.969306262696842,True
2769627690,5.5425101214574894,11.0,2.84375,4.0,2.5789473684210527,3.230769230769231,0.0,1.0,2.0,3.0,0.0,3.0,3.0,8.0,2.0,2.0,25,12,5.5425101214574894,25.0,14.570031498805436,19.45748987854251,0.0,0.0,0.0,15.0,189.0,15.0,10.429968501194564,upper_tail,11.88411135857548,15.998707847045985,True,11.951180352909269,15.967043458514675,True
241043582,3.768627450980392,12.0,2.78125,4.0,2.5294117647058822,3.066666666666667,0.0,1.0,3.0,3.0,6.0,6.0,5.0,6.0,4.0,4.0,25,12,3.768627450980392,25.0,14.574390559580873,21.231372549019607,0.0,0.0,0.0,15.0,189.0,15.0,10.425609440419127,upper_tail,11.890569508061718,16.041466298974075,True,11.810768058793002,15.994842922022526,True
3439933187,4.587301587301587,12.0,2.78125,4.0,2.5555555555555554,3.0714285714285716,1.0,1.0,2.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,25,12,4.587301587301587,25.0,14.595364783558791,20.41269841269841,0.0,0.0,0.0,18.0,189.0,18.0,10.404635216441209,upper_tail,11.900716207195774,16.02899586570014,True,12.170348746582452,15.991020640299709,True
2947583994,4.266666666666667,12.0,2.8125,4.0,3.1666666666666665,2.6,0.0,0.0,3.0,2.0,3.0,2.0,4.0,5.0,3.0,2.0,24,12,4.266666666666667,24.0,13.61101941922928,19.733333333333334,0.0,0.0,0.0,14.0,189.0,14.0,10.38898058077072,upper_tail,10.87063250419095,15.037477789899679,True,11.015993746923172,14.968133539625809,True
4091982574,4.16017316017316,13.0,2.71875,4.0,3.272727272727273,2.4285714285714284,0.0,0.0,2.0,3.0,4.0,5.0,6.0,6.0,3.0,2.0,25,12,4.16017316017316,25.0,14.635012575754002,20.83982683982684,0.0,0.0,0.0,14.0,189.0,14.0,10.364987424245998,upper_tail,12.011264921930984,16.05464327926543,True,12.013653965187258,16.017726854492146,True
301662226,3.155844155844156,12.0,2.5,4.0,2.142857142857143,3.1818181818181817,0.0,1.0,3.0,2.0,7.0,6.0,3.0,6.0,3.0,5.0,25,12,3.155844155844156,25.0,14.680619081456424,21.844155844155843,0.0,0.0,0.0,17.0,189.0,17.0,10.319380918543576,upper_tail,11.708162915134817,16.105693075058753,True,11.896330185683887,16.028559081744536,True
2877403075,4.270588235294118,13.0,2.8125,4.0,3.066666666666667,2.588235294117647,1.0,0.0,2.0,2.0,2.0,3.0,6.0,5.0,2.0,4.0,24,12,4.270588235294118,24.0,13.717631346799227,19.729411764705883,0.0,0.0,0.0,16.0,189.0,16.0,10.282368653200773,upper_tail,10.952209547060171,15.162150716757427,True,11.08852066710214,15.091592057980241,True
3035555052,3.8906882591093117,13.0,2.65625,5.0,3.1538461538461537,2.3157894736842106,0.0,0.0,1.0,4.0,2.0,7.0,6.0,5.0,4.0,2.0,23,12,3.8906882591093117,23.0,12.738712852214455,19.10931174089069,0.0,0.0,0.0,17.0,189.0,17.0,10.261287147785545,upper_tail,10.14366555254113,14.132404465363033,True,10.088031166369774,14.112074083979675,True
3120721952,3.5636363636363635,12.0,2.5,4.0,2.1363636363636362,3.3,0.0,1.0,0.0,4.0,3.0,4.0,3.0,4.0,3.0,1.0,24,12,3.5636363636363635,24.0,13.749247318757615,20.436363636363637,0.0,0.0,0.0,16.0,189.0,16.0,10.250752681242385,upper_tail,10.988720793691842,15.147826167363807,True,11.266979203896813,15.123984664091855,True
3140656922,4.063492063492063,13.0,3.0625,4.0,3.142857142857143,3.0,0.0,0.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,2.0,26,12,4.063492063492063,26.0,15.753570626776769,21.936507936507937,0.0,0.0,0.0,17.0,189.0,17.0,10.246429373223231,upper_tail,12.928996538888727,17.176093591944998,True,13.0737813168892,17.118312582398314,False
