truth_table,inputs,exact_minimum_gates,classical_lower_k_plus_1,existing_upper_k_plus_1,khrapchenko_product,decision_tree_leaf_count,mean_certificate_size,maximum_certificate_size,mean_certificate_size_output_0,mean_certificate_size_output_1,anf_terms_degree_0,fourier_negative_degree_0,anf_terms_degree_1,fourier_negative_degree_1,anf_terms_degree_2,fourier_negative_degree_2,anf_terms_degree_3,fourier_negative_degree_3,anf_terms_degree_4,fourier_negative_degree_4,and_factorable_partitions,or_factorable_partitions,canalizing_variable_count,restriction_upper_k_plus_1,factor_upper_k_plus_1,classical_width,restriction_gain,factor_gain,construction_upper_k_plus_1,exact_k_plus_1,true_slack,predicted_residual_slack,learned_reduction_beyond_construction,refined_upper_k_plus_1,cohort,covered,violation,residual_slack,model,risk_stratum,predicted_residual_slack_v3,selective_reduction,selective_upper_k_plus_1,covered_v3
1358714590,5,13,4.063492063492063,21.0,4.063492063492063,12.0,2.65625,4.0,3.071428571428572,2.333333333333333,0.0,0.0,3.0,2.0,3.0,6.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,17.0,189.0,16.936507936507937,4.0,0.0,17.0,14,7.0,2.4082000264301198,0.5081982657170743,16.491801734282927,random_reference,True,0.0,3.0,teacher,high,3.1796473095172795,0.8189414399759141,16.181058560024084,True
1136917192,5,13,5.0625,24.0,5.0625,12.0,3.03125,4.0,3.0625,3.0,0.0,0.0,1.0,4.0,6.0,6.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,15.0,189.0,18.9375,9.0,0.0,15.0,14,10.0,1.5224816918662667,0.0,15.0,random_reference,True,0.0,1.0,teacher,low,1.86357155415131,0.29675562305747594,14.703244376942525,True
4277854277,5,13,4.4089068825910935,22.0,4.4089068825910935,12.0,2.84375,4.0,3.3846153846153846,2.473684210526316,1.0,0.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,16.0,189.0,17.591093117408906,6.0,0.0,16.0,14,8.0,1.3956034139925513,0.0,16.0,random_reference,True,0.0,2.0,teacher,medium,2.239565220216421,0.0,16.0,True
3722104138,5,13,4.4089068825910935,23.0,4.4089068825910935,11.0,2.78125,4.0,3.076923076923077,2.5789473684210527,0.0,0.0,2.0,3.0,4.0,6.0,4.0,3.0,1.0,4.0,0.0,0.0,0.0,15.0,189.0,18.591093117408903,8.0,0.0,15.0,14,9.0,1.3125540433760914,0.0,15.0,random_reference,True,0.0,1.0,teacher,low,1.638442193465998,0.0,15.0,True
3953246371,5,13,4.803921568627451,25.0,4.803921568627451,13.0,3.15625,4.0,3.0588235294117645,3.2666666666666666,1.0,1.0,3.0,4.0,6.0,3.0,6.0,4.0,3.0,4.0,0.0,0.0,0.0,17.0,189.0,20.19607843137255,8.0,0.0,17.0,14,11.0,1.6370460383426,0.0,17.0,random_reference,True,0.0,3.0,teacher,medium,2.5834936982207304,0.4705465702983962,16.529453429701604,True
213399720,5,13,4.266666666666667,23.0,4.266666666666667,12.0,2.875,4.0,2.6,3.333333333333333,0.0,1.0,0.0,3.0,4.0,6.0,6.0,1.0,4.0,1.0,0.0,0.0,0.0,16.0,189.0,18.73333333333333,7.0,0.0,16.0,14,9.0,1.6744227130292744,0.0,16.0,random_reference,True,0.0,2.0,teacher,medium,2.5191816542890644,0.4062345263667302,15.593765473633269,True
124128160,5,13,5.4,20.0,5.4,13.0,3.0,4.0,2.6,3.6666666666666665,0.0,1.0,1.0,2.0,5.0,7.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,19.0,189.0,14.6,1.0,0.0,19.0,14,6.0,2.3280951487261365,0.4280933880130915,18.571906611986908,random_reference,True,0.0,5.0,teacher,medium,2.8248821830088633,0.7119350550865291,18.288064944913472,True
4292794496,5,13,3.404858299595141,22.0,3.404858299595141,13.0,2.6875,4.0,3.1538461538461537,2.3684210526315788,0.0,0.0,0.0,5.0,5.0,7.0,7.0,3.0,5.0,2.0,0.0,0.0,0.0,16.0,189.0,18.59514170040486,6.0,0.0,16.0,14,8.0,2.385213111310433,0.485211350597388,15.514788649402613,random_reference,True,0.0,2.0,teacher,high,3.268169393605615,0.9074635240642497,15.09253647593575,True
64172276,5,13,4.587301587301587,23.0,4.587301587301587,11.0,2.8125,4.0,2.611111111111111,3.071428571428572,0.0,1.0,3.0,1.0,4.0,4.0,6.0,4.0,3.0,2.0,0.0,0.0,0.0,16.0,189.0,18.41269841269841,7.0,0.0,16.0,14,9.0,2.071469026671442,0.1714672659583969,15.828532734041604,random_reference,True,0.0,2.0,teacher,medium,2.223125712095474,0.0,16.0,True
3493707776,5,13,4.090909090909091,21.0,4.090909090909091,11.0,2.625,4.0,2.1818181818181817,3.6,0.0,1.0,1.0,3.0,2.0,3.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,16.0,189.0,16.90909090909091,5.0,0.0,16.0,14,7.0,1.653796337436383,0.0,16.0,random_reference,True,0.0,2.0,teacher,low,1.5469697938105105,0.0,16.0,True
