truth_table,khrapchenko_product,decision_tree_leaf_count,mean_certificate_size,maximum_certificate_size,mean_certificate_size_output_0,mean_certificate_size_output_1,anf_terms_degree_0,fourier_negative_degree_0,anf_terms_degree_1,fourier_negative_degree_1,anf_terms_degree_2,fourier_negative_degree_2,anf_terms_degree_3,fourier_negative_degree_3,anf_terms_degree_4,fourier_negative_degree_4,exact_aon_cover_upper,exact_minimum_gates,classical_lower_k_plus_1,classical_upper_k_plus_1,predicted_k_plus_1,classical_width,and_factorable_partitions,or_factorable_partitions,canalizing_variable_count,restriction_upper_k_plus_1,factor_upper_k_plus_1,construction_upper_k_plus_1,prime_cover_slack,cohort,baseline_lower_k_plus_1,baseline_upper_k_plus_1,baseline_covered,structure_augmented_lower_k_plus_1,structure_augmented_upper_k_plus_1,structure_augmented_covered,inputs,existing_upper_k_plus_1,source,restriction_gain,factor_gain,exact_k_plus_1,true_slack,residual_slack,model,predicted_residual_slack,calibration_offset,learned_reduction_beyond_construction,refined_upper_k_plus_1,covered
4200382076,4.714285714285714,13.0,2.9375,5.0,3.5454545454545454,2.619047619047619,0.0,0.0,2.0,4.0,2.0,5.0,6.0,8.0,5.0,3.0,25,12,4.714285714285714,25.0,14.790257733767394,20.285714285714285,0.0,0.0,0.0,17.0,189.0,17.0,10.209742266232606,cost_12_upper_tail,12.09586026811085,16.227232056938842,True,12.083637643956308,16.202293187749156,True,5,25.0,n5_cost_12_challenge,8.0,0.0,13,12.0,4.0,teacher,1.8754911477245044,1.900001760713045,0.0,17.0,True
255483808,5.0625,11.0,2.875,4.0,3.0,2.75,0.0,0.0,1.0,2.0,3.0,7.0,2.0,3.0,2.0,0.0,24,12,5.0625,24.0,13.79735577742866,18.9375,0.0,0.0,0.0,15.0,189.0,15.0,10.20264422257134,cost_12_upper_tail,10.995544068613494,15.222144487027675,True,11.258724993140362,15.165342633394438,True,5,24.0,n5_cost_12_challenge,9.0,0.0,13,11.0,2.0,teacher,2.035288189730993,1.900001760713045,0.13528642901794807,14.864713570982051,True
3235217443,4.16017316017316,13.0,2.75,4.0,2.4285714285714284,3.363636363636364,1.0,1.0,3.0,3.0,7.0,2.0,8.0,6.0,2.0,2.0,24,12,4.16017316017316,24.0,13.805013805737415,19.83982683982684,0.0,0.0,0.0,17.0,189.0,17.0,10.194986194262585,cost_12_upper_tail,10.99133956465306,15.232384214972852,True,11.126377839898868,15.198853721237509,True,5,24.0,n5_cost_12_challenge,7.0,0.0,13,11.0,4.0,teacher,1.7507838388299626,1.900001760713045,0.0,17.0,True
3231707583,4.266666666666667,12.0,2.84375,4.0,3.25,2.6,1.0,0.0,0.0,1.0,4.0,3.0,6.0,5.0,2.0,2.0,24,12,4.266666666666667,24.0,13.822305180376798,19.733333333333334,0.0,0.0,0.0,16.0,189.0,16.0,10.177694819623202,cost_12_upper_tail,11.000781823658286,15.253433553022848,True,11.176055262166289,15.19761662659231,True,5,24.0,n5_cost_12_challenge,8.0,0.0,13,11.0,3.0,teacher,2.473348105456026,1.900001760713045,0.5733463447429807,15.42665365525702,True
4067881548,4.587301587301587,12.0,2.875,4.0,3.2142857142857144,2.611111111111111,0.0,0.0,1.0,3.0,5.0,5.0,7.0,4.0,2.0,0.0,24,12,4.587301587301587,24.0,13.83316207938072,19.41269841269841,0.0,0.0,0.0,14.0,189.0,14.0,10.16683792061928,cost_12_upper_tail,11.134199893920089,15.260982261618144,True,11.286349445139598,15.2230208019582,True,5,24.0,n5_cost_12_challenge,10.0,0.0,13,11.0,1.0,teacher,2.1564909396187444,1.900001760713045,0.25648917890569933,13.7435108210943,True
4283888718,4.714285714285714,13.0,2.78125,4.0,3.636363636363636,2.333333333333333,0.0,0.0,2.0,4.0,6.0,7.0,6.0,7.0,3.0,2.0,24,12,4.714285714285714,24.0,13.8422283087316,19.285714285714285,0.0,0.0,0.0,17.0,189.0,17.0,10.1577716912684,cost_12_upper_tail,11.213905549494822,15.251207011267796,True,11.10272597760212,15.234556985508505,True,5,24.0,n5_cost_12_challenge,7.0,0.0,13,11.0,4.0,teacher,1.8676076009881,1.900001760713045,0.0,17.0,True
3174898965,3.571428571428572,11.0,2.65625,4.0,3.0,2.388888888888889,1.0,0.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,23,12,3.571428571428572,23.0,12.866112082448922,19.428571428571427,0.0,0.0,0.0,15.0,189.0,15.0,10.133887917551078,cost_12_upper_tail,10.11790511841276,14.26925483321892,True,10.361087656455016,14.215571276469374,True,5,23.0,n5_cost_12_challenge,8.0,0.0,13,10.0,2.0,teacher,1.831278560558404,1.900001760713045,0.0,15.0,True
50275564,3.515625,12.0,2.71875,4.0,3.0,2.4375,0.0,0.0,2.0,3.0,3.0,7.0,5.0,4.0,4.0,1.0,24,12,3.515625,24.0,13.883774963914982,20.484375,0.0,0.0,0.0,17.0,189.0,17.0,10.116225036085018,cost_12_upper_tail,11.347119804721345,15.255181351380106,True,11.309962868980652,15.208051657426754,True,5,24.0,n5_cost_12_challenge,7.0,0.0,13,11.0,4.0,teacher,2.1104864548505193,1.900001760713045,0.21048469413747428,16.789515305862526,True
2860522042,4.266666666666667,11.0,2.71875,4.0,2.35,3.333333333333333,0.0,1.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,25,12,4.266666666666667,25.0,14.914410397927108,20.733333333333334,0.0,0.0,0.0,14.0,189.0,14.0,10.085589602072892,cost_12_upper_tail,12.007855681259596,16.350251214925155,True,12.30206561724922,16.288924325212047,True,5,25.0,n5_cost_12_challenge,11.0,0.0,13,12.0,1.0,teacher,1.7362956751999317,1.900001760713045,0.0,14.0,True
3221684327,4.090909090909091,12.0,2.6875,4.0,2.363636363636364,3.4,1.0,1.0,2.0,0.0,4.0,1.0,6.0,5.0,2.0,1.0,23,12,4.090909090909091,23.0,12.92802919145088,18.90909090909091,0.0,0.0,0.0,14.0,189.0,14.0,10.07197080854912,cost_12_upper_tail,10.01198136593784,14.346480385810173,True,10.250744155008096,14.30568033681515,True,5,23.0,n5_cost_12_challenge,9.0,0.0,13,10.0,1.0,teacher,2.0814730741525707,1.900001760713045,0.1814713134395256,13.818528686560475,True
