language,contact,truth_table,truth_table_hex,phase_permutation_orbit_hex,anf,minimum_gates,khrapchenko_product,decision_tree_leaves,lower,upper,active_upper_source,cover_cost_k_plus_1,cover_construction,tied_cover_constructions,cover_cubes_01_dash
AND_OR_NOT,upper,54613,0xd555,0x2aaa,1 + x0 + x0*x1*x2*x3,4,1.5873015873015874,5,1.5873015873015874,5.0,exact prime cover,5,DNF(f),DNF(f),0--- -111
AND_OR_NOT,upper,54656,0xd580,0x1bbb,x0*x1*x2 + x3 + x0*x3,5,2.4,5,2.4,6.0,exact prime cover,6,DNF(f),DNF(f),111- 0--1
AND_OR_NOT,upper,54720,0xd5c0,0x0bbb,x1*x2 + x3 + x0*x3 + x1*x2*x3 + x0*x1*x2*x3,4,2.2857142857142856,7,2.2857142857142856,5.0,exact prime cover,5,DNF(f),DNF(f),-11- 0--1
AND_OR_NOT,upper,54741,0xd5d5,0x0aaa,1 + x0 + x0*x1*x2,3,1.6666666666666667,4,1.6666666666666667,4.0,exact prime cover,4,DNF(f),DNF(f),0--- -11-
AND_OR_NOT,upper,55296,0xd800,0x1bff,x0*x1*x3 + x2*x3 + x0*x2*x3,5,2.083333333333333,5,2.083333333333333,6.0,exact prime cover,6,CNF(f),CNF(f),---0 0-0- 10--
AND_OR_NOT,upper,55304,0xd808,0x1bdf,x0*x1 + x0*x1*x2 + x2*x3 + x0*x2*x3 + x0*x1*x2*x3,7,2.6181818181818177,7,2.6181818181818177,8.0,exact prime cover,8,CNF(f),CNF(f),0-0- 10-- --10
AND_OR_NOT,upper,55376,0xd850,0x1bbb,x2 + x0*x2 + x0*x1*x3,5,2.4,5,2.4,6.0,exact prime cover,6,DNF(f),DNF(f),0-1- 11-1
AND_OR_NOT,upper,55432,0xd888,0x07f7,x0*x1 + x2*x3 + x0*x2*x3,5,2.4,5,2.4,6.0,exact prime cover,6,DNF(f),DNF(f),11-- 0-11
AND_OR_NOT,upper,55512,0xd8d8,0x03cf,x0*x1 + x2 + x0*x2,4,2.25,4,2.25,5.0,exact prime cover,5,CNF(f),DNF(f);CNF(f),0-0- 10--
AND_OR_NOT,upper,55517,0xd8dd,0x02ce,1 + x0 + x0*x1 + x3 + x0*x3 + x2*x3 + x0*x2*x3,6,2.4,5,2.4,7.0,exact prime cover,7,CNF(f),CNF(f),10-- 0-01
AND_OR_NOT,upper,55551,0xd8ff,0x028a,1 + x3 + x0*x1*x3 + x2*x3 + x0*x2*x3,6,2.083333333333333,5,2.083333333333333,7.0,exact prime cover,7,DNF(f),DNF(f),---0 11-- 0-1-
AND_OR_NOT,upper,56400,0xdc50,0x0bbb,x2 + x0*x2 + x1*x3 + x1*x2*x3 + x0*x1*x2*x3,4,2.2857142857142856,7,2.2857142857142856,5.0,exact prime cover,5,DNF(f),DNF(f),0-1- -1-1
AND_OR_NOT,upper,56524,0xdccc,0x00bf,x1 + x2*x3 + x0*x2*x3 + x1*x2*x3 + x0*x1*x2*x3,4,1.5873015873015874,5,1.5873015873015874,5.0,exact prime cover,5,DNF(f),DNF(f),-1-- 0-11
AND_OR_NOT,upper,56540,0xdcdc,0x00af,x1 + x2 + x0*x2 + x1*x2 + x0*x1*x2,3,1.6666666666666667,4,1.6666666666666667,4.0,exact prime cover,4,DNF(f),DNF(f),-1-- 0-1-
AND_OR_NOT,upper,56575,0xdcff,0x008a,1 + x3 + x1*x3 + x2*x3 + x0*x2*x3 + x1*x2*x3 + x0*x1*x2*x3,5,1.641025641025641,5,1.641025641025641,6.0,exact prime cover,6,DNF(f),DNF(f),---0 -1-- 0-1-
AND_OR_NOT,upper,56576,0xdd00,0x0aff,x3 + x0*x3 + x0*x1*x3,3,1.6666666666666667,4,1.6666666666666667,4.0,exact prime cover,4,CNF(f),CNF(f),---0 10--
