feature,status,family,language,distinct_values,pearson_r,spearman_rho,eta_squared,adjusted_eta_squared,expected_null_eta_squared,conditional_ceiling_gain
input_symmetries,used,symmetry,NOR,6,0.12039132193536668,0.11382877072942187,0.0181900554750108,0.018115142462304834,7.629510948348211e-05,0.0
input_symmetries,used,symmetry,AND_OR_NOT,6,0.012716491485476834,-0.0021370322548162316,0.0019646010859393002,0.0018884500559596118,7.629510948348211e-05,0.0
anf_terms_degree_0,new,ANF support,NAND,2,-0.040599281940943935,-0.037044822383245204,0.0016483016941202557,0.0016330675912376025,1.5259021896696422e-05,0.017973730754917483
anf_terms_degree_0,new,ANF support,NOR,2,0.08555019480842012,0.08430521276595693,0.007318835831758633,0.0073036882570010064,1.5259021896696422e-05,0.01653633184571701
anf_terms_degree_0,new,ANF support,AND_OR_NOT,2,0.09594607164371015,0.09503906815034194,0.00920564866385996,0.009190529880459986,1.5259021896696422e-05,0.016062176870980327
fourier_l1_degree_0,new,Fourier shape,NAND,9,-0.09958789536318591,-0.07763637617667878,0.013188791633906396,0.013068314736338515,0.00012207217517357137,0.0
fourier_l1_degree_0,new,Fourier shape,NOR,9,-0.09958789536318591,-0.07763637617667878,0.013188791633906396,0.013068314736338515,0.00012207217517357137,0.0
fourier_l1_degree_0,new,Fourier shape,AND_OR_NOT,9,-0.23250249084091365,-0.19217784023133744,0.06590474631252165,0.0657907053518566,0.00012207217517357137,0.0
fourier_negative_degree_0,new,Fourier phase,NAND,2,0.21945610301248433,0.22378756759630483,0.04816098114942619,0.04814645679536811,1.5259021896696422e-05,0.0
fourier_negative_degree_0,new,Fourier phase,NOR,2,-0.24723165412222187,-0.2497092781974453,0.06112349080000992,0.06110916424418855,1.5259021896696422e-05,0.0
fourier_negative_degree_0,new,Fourier phase,AND_OR_NOT,2,-0.03606814708630429,-0.034470746684820204,0.0013009112342392778,0.0012856718304371517,1.5259021896696422e-05,0.0
fourier_zero_degree_0,new,Fourier shape,NAND,2,0.03427820445000591,0.03199035339278189,0.0011749953003164066,0.001159753975131017,1.5259021896696422e-05,0.0
fourier_zero_degree_0,new,Fourier shape,NOR,2,0.03427820445000591,0.03199035339278189,0.0011749953003164066,0.001159753975131017,1.5259021896696422e-05,0.0
fourier_zero_degree_0,new,Fourier shape,AND_OR_NOT,2,0.08902443123973049,0.08508168192510775,0.007925349357557523,0.007910211037744252,1.5259021896696422e-05,0.0
anf_terms_degree_1,new,ANF support,NAND,5,0.44660166537439755,0.42365744910730174,0.2327370062471046,0.23269017265727665,6.103608758678569e-05,0.05782951340213671
anf_terms_degree_1,new,ANF support,NOR,5,0.16813554217238968,0.16535964717543108,0.04042290847806153,0.04036433607162648,6.103608758678569e-05,0.044766904347695924
anf_terms_degree_1,new,ANF support,AND_OR_NOT,5,0.3550660532166403,0.34109390377894094,0.13074373530724248,0.13069067606720686,6.103608758678569e-05,0.0187762835337576
fourier_l1_degree_1,new,Fourier shape,NAND,7,-0.45056172699036123,-0.4387133196670213,0.22529333564768478,0.2252224015576465,9.155413138017853e-05,0.0005702376867365855
fourier_l1_degree_1,new,Fourier shape,NOR,7,-0.45056172699036123,-0.4387133196670213,0.22529333564768478,0.2252224015576465,9.155413138017853e-05,0.0005702376867365855
fourier_l1_degree_1,new,Fourier shape,AND_OR_NOT,7,-0.4383031129999625,-0.4254214299077866,0.21197096582182448,0.21189881190210857,9.155413138017853e-05,0.0011889131208940862
fourier_negative_degree_1,new,Fourier phase,NAND,5,-0.10606321870567892,-0.10825471972037813,0.012613287834113205,0.012553017933628507,6.103608758678569e-05,0.03596918454497966
fourier_negative_degree_1,new,Fourier phase,NOR,5,-0.10606321870567892,-0.10825471972037813,0.012613287834113205,0.012553017933628507,6.103608758678569e-05,0.03596918454497966
fourier_negative_degree_1,new,Fourier phase,AND_OR_NOT,5,-0.1331866335184653,-0.13091431477472462,0.017789354535591554,0.01772940058125161,6.103608758678569e-05,0.0200986357062094
fourier_zero_degree_1,new,Fourier shape,NAND,5,0.1184124563035183,0.09188136519061457,0.02538633073466003,0.025326840498328118,6.103608758678569e-05,0.0
fourier_zero_degree_1,new,Fourier shape,NOR,5,0.1184124563035183,0.09188136519061457,0.02538633073466003,0.025326840498328118,6.103608758678569e-05,0.0
fourier_zero_degree_1,new,Fourier shape,AND_OR_NOT,5,0.12090053357511639,0.09324430034074949,0.02494608048336237,0.024886563374237336,6.103608758678569e-05,0.0
anf_terms_degree_2,new,ANF support,NAND,7,0.14925328144358688,0.16038406527068916,0.022518319719394782,0.022428819039059578,9.155413138017853e-05,0.0399192999657747
anf_terms_degree_2,new,ANF support,NOR,7,0.06978896961551487,0.06777126216099033,0.0049596541605871685,0.00486854576468565,9.155413138017853e-05,0.03695407113119009
anf_terms_degree_2,new,ANF support,AND_OR_NOT,7,0.14074741374914415,0.13722896540291427,0.020688178240080957,0.020598509987390323,9.155413138017853e-05,0.022127482930569098
fourier_l1_degree_2,new,Fourier shape,NAND,8,-0.1797240621928805,-0.1867284695181091,0.035683104515933026,0.03558009178445354,0.00010681315327687495,0.0001730944883523433
fourier_l1_degree_2,new,Fourier shape,NOR,8,-0.1797240621928805,-0.1867284695181091,0.035683104515933026,0.03558009178445354,0.00010681315327687495,0.0001730944883523433
fourier_l1_degree_2,new,Fourier shape,AND_OR_NOT,8,-0.1574023896054956,-0.17511240081472662,0.028461375586808522,0.028357591397288107,0.00010681315327687495,0.0004907838500131101
fourier_negative_degree_2,new,Fourier phase,NAND,7,-0.022373954966706636,-0.024106875106464816,0.0010678356415190664,0.0009763709009286137,9.155413138017853e-05,0.011568856301611197
fourier_negative_degree_2,new,Fourier phase,NOR,7,-0.0010917195184837495,-0.001397687583375914,0.00043253103069511637,0.00034100812001713887,9.155413138017853e-05,0.011568856301611197
fourier_negative_degree_2,new,Fourier phase,AND_OR_NOT,7,-0.0087924778517223,-0.006674690423681515,0.0015051975693684404,0.0014137728747356526,9.155413138017853e-05,0.02495452547748278
fourier_zero_degree_2,new,Fourier shape,NAND,7,0.021544236671401908,0.012592547382772747,0.0077702076196107936,0.007679356565050477,9.155413138017853e-05,0.0
fourier_zero_degree_2,new,Fourier shape,NOR,7,0.021544236671401908,0.012592547382772747,0.0077702076196107936,0.007679356565050477,9.155413138017853e-05,0.0
fourier_zero_degree_2,new,Fourier shape,AND_OR_NOT,7,0.016145048281916263,0.010596108216763189,0.005457287014445725,0.0053662241830594315,9.155413138017853e-05,0.0
anf_terms_degree_3,new,ANF support,NAND,5,0.01979752970971824,-0.0006568217511554538,0.0004218679639062293,0.000360853901429814,6.103608758678569e-05,0.01611562139435796
