truth_table,mean_certificate_size,anf_terms_degree_1,khrapchenko_product,decision_tree_leaf_count,target_NAND,lower_NAND,upper_NAND,position_NAND,target_NOR,lower_NOR,upper_NOR,position_NOR,target_AND_OR_NOT,lower_AND_OR_NOT,upper_AND_OR_NOT,position_AND_OR_NOT,exact_aon_cover_upper
13343,2.5,1,4.0,8,12.0,4.0,21.75,0.5070422535211268,12.0,4.0,21.75,0.5070422535211268,11.0,4.0,13.11111111111111,0.8780487804878049,15
13344,2.3125,0,3.0,8,12.0,3.0,21.75,0.5333333333333333,9.0,3.0,21.75,0.37333333333333335,7.0,3.0,11.0,0.625,11
13345,2.5625,4,4.654545454545455,9,17.0,4.654545454545455,24.0,0.6898496240601504,11.0,4.654545454545455,24.0,0.37969924812030076,12.0,4.654545454545455,14.555555555555555,0.8428892062844315,18
13346,2.5,1,3.5636363636363635,8,13.0,3.5636363636363635,21.75,0.5738565358660335,9.0,3.5636363636363635,21.75,0.35391152211947013,9.0,3.5636363636363635,13.11111111111111,0.6741430385103682,14
13347,2.625,3,4.266666666666667,9,15.0,4.266666666666667,24.0,0.5945945945945946,10.0,4.266666666666667,24.0,0.34121621621621623,11.0,4.266666666666667,14.555555555555555,0.7516198704103673,18
13348,2.375,1,3.5636363636363635,7,11.0,3.5636363636363635,19.5,0.5293782087849401,6.0,3.5636363636363635,19.5,0.21563034797490016,7.0,3.5636363636363635,11.666666666666666,0.5474943904263277,12
13349,2.5,3,4.266666666666667,8,14.0,4.266666666666667,21.75,0.6139180171591992,9.0,4.266666666666667,21.75,0.3279313632030505,10.0,4.266666666666667,13.11111111111111,0.7613065326633165,15
13350,2.625,2,4.266666666666667,7,12.0,4.266666666666667,19.5,0.5733041575492341,9.0,4.266666666666667,19.5,0.37636761487964987,9.0,4.266666666666667,11.666666666666666,0.7747747747747749,14
13351,2.625,2,4.063492063492063,8,13.0,4.063492063492063,21.75,0.5618128786179044,9.0,4.063492063492063,21.75,0.3356517837110164,10.0,4.063492063492063,13.11111111111111,0.7666666666666667,15
13352,2.5,0,4.654545454545455,9,13.0,4.654545454545455,24.0,0.4830827067669172,10.0,4.654545454545455,24.0,0.32800751879699247,8.0,4.654545454545455,13.0,0.5206971677559913,13
13353,2.9375,4,6.666666666666667,11,20.0,6.666666666666667,28.5,0.6564885496183206,14.0,6.666666666666667,28.5,0.38167938931297707,13.0,6.666666666666667,17.444444444444443,0.6804123711340208,25
13354,2.625,1,4.266666666666667,9,12.0,4.266666666666667,24.0,0.4425675675675676,9.0,4.266666666666667,24.0,0.2905405405405405,10.0,4.266666666666667,14.0,0.6917808219178082,14
13355,2.8125,3,5.142857142857143,10,16.0,5.142857142857143,26.25,0.5617597292724197,12.0,5.142857142857143,26.25,0.3722504230118443,12.0,5.142857142857143,16.0,0.7236842105263157,21
13356,2.5,1,4.266666666666667,8,11.0,4.266666666666667,21.75,0.44232602478551,9.0,4.266666666666667,21.75,0.3279313632030505,8.0,4.266666666666667,13.11111111111111,0.5351758793969849,14
13357,2.75,3,5.142857142857143,10,14.0,5.142857142857143,26.25,0.467005076142132,12.0,5.142857142857143,26.25,0.3722504230118443,12.0,5.142857142857143,16.0,0.7236842105263157,21
13358,2.75,2,4.063492063492063,8,12.0,4.063492063492063,21.75,0.5052726048911824,11.0,4.063492063492063,21.75,0.44873233116446043,9.0,4.063492063492063,13.11111111111111,0.656140350877193,15
13359,2.5,2,4.0,8,11.0,4.0,21.75,0.4507042253521127,11.0,4.0,21.75,0.4507042253521127,10.0,4.0,13.11111111111111,0.7682926829268293,16
